,t,alpha_1,alpha_2,alpha_3,alpha_4,alpha_5,alpha_6,omega_1,omega_2,omega_3,omega_4,omega_5,omega_6,omega_7,omega_8,omega_9,omega_10,omega_11,omega_12
37,1573744254.486795,-0.035441309213638306,0.04850330203771591,0.13054686784744263,-0.11766277998685837,-0.20967070758342743,0.22069565951824188,813.4564819335938,811.4737548828125,805.288330078125,811.8121948242188,808.55517578125,813.7719116210938,813.1920776367188,811.7398681640625,805.024658203125,812.0693359375,808.7808227539062,813.5503540039062
38,1573744254.495507,-0.035537827759981155,0.04848139360547066,0.13034163415431976,-0.1175648495554924,-0.20983009040355682,0.22073517739772797,813.6686401367188,811.7243041992188,805.5112915039062,812.0462036132812,808.7703247070312,814.02978515625,813.406494140625,811.9880981445312,805.2496948242188,812.3013305664062,808.9935913085938,813.8106079101562
39,1573744254.5055509,-0.035521939396858215,0.048414476215839386,0.1302265226840973,-0.11751659959554672,-0.20990592241287231,0.22076287865638733,813.6663208007812,811.6848754882812,805.5010375976562,812.017578125,808.783447265625,813.9840087890625,813.4052124023438,811.9476318359375,805.2407836914062,812.2713012695312,809.0057373046875,813.7658081054688
40,1573744254.515519,-0.035563874989748,0.04847292602062225,0.13068455457687378,-0.11800713837146759,-0.20960117876529694,0.22045713663101196,813.5108032226562,811.3624267578125,805.2437133789062,811.798095703125,808.5891723632812,813.6591796875,813.24951171875,811.62548828125,804.9842529296875,812.0510864257812,808.811279296875,813.4410400390625
41,1573744254.5262141,-0.03502843901515007,0.047934290021657944,0.1316467672586441,-0.11897891759872437,-0.2089628130197525,0.21979820728302002,813.19921875,810.980712890625,804.8772583007812,811.5177612304688,808.2064208984375,813.2913818359375,812.9381713867188,811.24365234375,804.6180419921875,811.7704467773438,808.4280395507812,813.07373046875
42,1573744254.5362945,-0.03531663492321968,0.04822957143187523,0.1313602179288864,-0.1186683401465416,-0.2091711461544037,0.21999920904636383,813.2859497070312,811.1177978515625,804.9544677734375,811.6406860351562,808.276123046875,813.4571533203125,813.024658203125,811.380859375,804.6947021484375,811.8938598632812,808.4976196289062,813.2396850585938
43,1573744254.5431428,-0.03561073914170265,0.04856187105178833,0.13130925595760345,-0.11857552826404572,-0.20921269059181213,0.22007235884666443,813.1956176757812,811.0355834960938,804.850830078125,811.550048828125,808.1746215820312,813.378662109375,812.93359375,811.2994384765625,804.5902099609375,811.8040161132812,808.3967895507812,813.1605834960938
44,1573744254.5549686,-0.03566965460777283,0.048721794039011,0.13094721734523773,-0.11808345466852188,-0.20944799482822418,0.22040046751499176,813.1035766601562,811.0358276367188,804.784912109375,811.5142211914062,808.0798950195312,813.41259765625,812.8394775390625,811.3016967773438,804.5216064453125,811.7708129882812,808.303955078125,813.1926879882812
45,1573744254.5647266,-0.035777438431978226,0.048813190311193466,0.13090190291404724,-0.11804531514644623,-0.20948468148708344,0.2204245626926422,812.848876953125,810.8114013671875,804.5492553710938,811.2658081054688,807.8318481445312,813.1813354492188,812.5851440429688,811.0768432617188,804.2861938476562,811.5221557617188,808.0556640625,812.9617309570312
46,1573744254.5737717,-0.03602268546819687,0.04900931194424629,0.13054566085338593,-0.11775753647089005,-0.20973193645477295,0.2206118404865265,813.0848999023438,811.00244140625,804.7452392578125,811.4774169921875,808.07080078125,813.38671875,812.8221435546875,811.2669677734375,804.4835205078125,811.732421875,808.2933959960938,813.1682739257812
47,1573744254.5841393,-0.0358506441116333,0.048841409385204315,0.13046064972877502,-0.11767055094242096,-0.20978890359401703,0.22065509855747223,813.073974609375,810.9791870117188,804.7031860351562,811.4968872070312,808.0369262695312,813.4011840820312,812.8111572265625,811.2437744140625,804.44140625,811.751953125,808.2592163085938,813.1830444335938
